timestamp,data1,data2,data3,data4,data5,data6,label
3.079,0.04114,-0.03931,1.27014,6.65283,-0.85449,-15.19775,1
3.09,0.02112,-0.05212,1.27588,16.6626,-5.06592,-17.02881,1
3.1,0.00244,-0.06384,1.28394,32.10449,-10.98633,-18.55469,1
3.111,-0.01697,-0.07471,1.29016,36.13281,-10.86426,-18.43262,1
3.121,-0.02869,-0.07727,1.2887,38.63525,-8.91113,-17.39502,1
3.132,-0.02661,-0.06958,1.2804,40.1001,-5.06592,-17.02881,1
3.143,-0.01733,-0.06299,1.27954,41.3208,0.12207,-19.04297,1
3.153,-0.00781,-0.05981,1.29224,43.45703,6.22559,-23.86474,1
3.164,-0.0033,-0.04919,1.31091,46.69189,12.3291,-29.35791,1
3.174,-0.00439,-0.03162,1.3291,51.20849,17.15088,-33.44727,1
3.185,-0.00854,-0.00464,1.33459,57.1289,20.26367,-37.04834,1
3.196,-0.04919,0.00159,1.33191,64.69727,22.3999,-40.34423,1
3.206,-0.10022,-0.00952,1.29919,76.11084,24.04785,-40.34423,1
3.217,-0.13013,-0.01904,1.23291,89.4165,23.68164,-35.70557,1
3.228,-0.14661,-0.01965,1.17139,99.30419,21.48437,-28.68652,1
3.238,-0.1499,-0.00903,1.13525,104.91943,19.28711,-20.62988,1
3.249,-0.12805,0.01477,1.10229,108.88671,18.12744,-11.77978,1
3.259,-0.08423,0.047,1.06372,107.23876,18.12744,1.34277,1
3.27,-0.02954,0.08398,1.04871,99.30419,16.78467,3.60107,1
3.281,0.01953,0.12561,1.06287,93.38378,13.97705,3.84521,1
3.291,0.05273,0.16663,1.08521,94.29931,7.62939,2.62451,1
3.302,0.07043,0.20374,1.09229,101.31835,-2.74658,1.09863,1
3.312,0.07446,0.2323,1.06384,109.49706,-17.08984,0.12207,1
3.323,0.07141,0.24963,1.01294,114.01366,-34.85107,0.24414,1
3.334,0.07275,0.27051,0.98865,115.23437,-52.97851,1.09863,1
3.344,0.10437,0.34155,1.03333,117.61474,-68.90869,1.09863,1
3.355,0.13025,0.37573,1.06787,123.59618,-82.8247,-1.15967,1
3.366,0.14294,0.38989,1.09106,132.69043,-92.95654,-5.43213,1
3.376,0.13538,0.39087,1.10535,143.06641,-97.04589,-10.19287,1
